Номер заказа;Номер отправления;Дата отгрузки;Сумма отправления;OZON id;Ваша цена;Оплачено покупателем;Цена товара до скидок;Скидка %;Скидка руб
37982500-0229;37982500-0229-2;24.03.2025 13:00;14791.00;965922030;14791.00;11570.00;27095.00;45%;12304.00
59094839-0154;59094839-0154-1;24.03.2025 13:00;18099.00;985189781;18099.00;14157.00;40060.00;55%;21961.00
0122535576-0182;0122535576-0182-1;23.03.2025 13:00;24000.00;1756592423;24000.00;19073.00;49457.00;51%;25457.00
18946862-0031;18946862-0031-1;23.03.2025 13:00;21100.00;985165859;21100.00;16140.00;46418.00;55%;25318.00
18946862-0029;18946862-0029-1;23.03.2025 13:00;21100.00;985165859;21100.00;16140.00;46418.00;55%;25318.00
43413875-0116;43413875-0116-1;22.03.2025 13:00;20899.00;985122721;20899.00;16474.00;44274.00;53%;23375.00
81141076-0331;81141076-0331-1;22.03.2025 13:00;18099.00;985189781;18099.00;14152.00;40060.00;55%;21961.00
56805837-0131;56805837-0131-1;22.03.2025 13:00;15000.00;999667986;15000.00;11097.00;34609.00;57%;19609.00
93002513-0036;93002513-0036-4;22.03.2025 13:00;15000.00;999667986;15000.00;11729.00;34609.00;57%;19609.00
0104262966-0068;0104262966-0068-1;22.03.2025 13:00;14000.00;1007969678;14000.00;10886.00;28205.00;50%;14205.00
0158376668-0038;0158376668-0038-1;21.03.2025 13:00;52600.00;975934905;52600.00;40047.00;73168.00;28%;20568.00
36036638-0412;36036638-0412-2;21.03.2025 13:00;14000.00;1007969678;14000.00;10740.47;28205.00;50%;14205.00
0148438167-0020;0148438167-0020-1;21.03.2025 13:00;15000.00;999667986;15000.00;11857.00;34609.00;57%;19609.00
0141257837-0057;0141257837-0057-1;21.03.2025 13:00;15000.00;1064626945;15000.00;12453.00;28219.00;47%;13219.00
0198215682-0001;0198215682-0001-3;21.03.2025 13:00;21294.00;1266364538;21294.00;17357.00;35309.00;40%;14015.00
74960027-0361;74960027-0361-1;21.03.2025 13:00;19068.00;1918780052;19068.00;14558.46;40540.00;53%;21472.00
0128749189-0075;0128749189-0075-1;20.03.2025 13:00;17010.00;986771159;17010.00;12500.00;41395.00;59%;24385.00
0154613635-0003;0154613635-0003-1;20.03.2025 13:00;26300.00;1338292056;26300.00;20653.00;43678.00;40%;17378.00
0100379156-0019;0100379156-0019-1;20.03.2025 13:00;20700.00;985165859;20700.00;16192.00;46418.00;55%;25718.00
0161075655-0008;0161075655-0008-1;20.03.2025 13:00;20700.00;985165859;20700.00;16192.00;46418.00;55%;25718.00
0191045617-0066;0191045617-0066-3;20.03.2025 13:00;21099.00;1606602149;21099.00;16504.00;44557.00;53%;23458.00
82453838-0105;82453838-0105-1;19.03.2025 13:00;8035.00;1363993554;8035.00;5839.00;15398.00;48%;7363.00
