sku,total_qty,total_rev,total_fee,total_payout,returns_qty,returns_rub,promo_cost,production_cost,production_cost_total,comb_cost,net_qty,net_revenue,margin,avg_price_per_unit,avg_net_price_per_unit,commission_per_unit,promo_per_unit,margin_per_unit,contribution_margin,break_even_price,margin_pct,returns_pct,promo_intensity_pct,avg_order_value,conversion_order_return,recommended_action,ordered_qty_promo_sum,unique_visitors_total_sum,unique_visitors_card_sum,ordered_amount_promo_sum,ordered_amount_sum,card_to_cart_conversion_mean,accrual_amount_sum,accrual_qty_sum,accrual_cost_per_unit,margin_adj,opening_stock,incoming,incoming_from_supplies,outgoing,outgoing_shipped,ending_stock,valid_stock_end,valid_stock_end,invalid_stock_end,average_inventory,cogs,inventory_turnover,ABC_class,XYZ_class
1232870909,1,4246.0,1028.7,4686.3,1.0,4847.0,154.0,3664.0,3664.0,4846.7,0.0,-601.0,-5447.7,4246.0,0.0,1028.7,154.0,0.0,0.0,4846.7,906.4392678868552,100.0,3.6269430051813467,5419.6,20.0,STOP,11,17145,581,66682,66682,0.0,44107.19,116,380.23439655172416,38659.490000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,X
1232915937,1,4701.0,1143.0,5207.0,2.0,11145.0,130.0,3664.0,3664.0,4937.0,-1.0,-6444.0,-11381.0,4701.0,6444.0,1143.0,130.0,11381.0,2.4209742607955755,4937.0,176.6139044072005,200.0,2.765369070410551,5912.0,40.0,STOP,8,14302,403,48502,48502,0.0,17360.52,74,234.60162162162163,5979.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3664.0,0.0,C,Z
1232919540,1,4596.0,1143.0,5207.0,2.0,10425.0,599.0,3664.0,3664.0,5406.0,-1.0,-5829.0,-11235.0,4596.0,5829.0,1143.0,599.0,11235.0,2.4445169712793735,5406.0,192.74318064848174,200.0,13.03307223672759,5479.8421052631575,10.526315789473683,STOP,29,23579,927,165846,165846,0.0,106992.42,324,330.2235185185185,95757.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3664.0,0.0,C,Z
1232966550,1,4568.0,1113.12,5070.88,0.0,0.0,46.0,0.0,0.0,1159.12,1.0,4568.0,3408.88,4568.0,4568.0,1113.12,46.0,3408.88,0.7462521891418564,1159.12,74.62521891418564,0.0,1.0070052539404553,6184.0,0.0,SCALE,2,10793,278,12368,12368,0.0,8916.880000000001,22,405.31272727272733,12325.760000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,X
1233002951,4,18029.0,4147.2,19532.8,0.0,0.0,225.0,0.0,0.0,4372.2,4.0,18029.0,13656.8,4507.25,4507.25,1036.8,56.25,3414.2,0.757490709412613,1093.05,75.7490709412613,0.0,1.2479893504908757,5933.714285714285,0.0,SCALE,9,15837,481,56534,56534,0.0,34724.99,107,324.5326168224299,48381.78999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,Z
1233012563,2,9324.0,2304.0,10496.0,0.0,0.0,89.0,4584.0,9168.0,11561.0,2.0,9324.0,-2237.0,4662.0,4662.0,1152.0,44.5,-1118.5,-0.2399184899184899,5780.5,-23.99184899184899,0.0,0.9545259545259545,6165.333333333333,0.0,STOP,3,13153,368,18496,18496,0.0,17610.42,49,359.3963265306122,15373.419999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9168.0,0.0,C,Z
1233015711,10,44798.0,10758.24,49009.76,1.0,6048.0,799.0,4584.0,45840.0,57397.24,9.0,38750.0,-18647.239999999998,4479.8,4305.555555555556,1075.824,79.9,-2071.9155555555553,-0.46250179819535586,5739.724,-48.12190967741935,10.0,1.7835617661502747,5934.88,4.0,STOP,28,30489,1674,168206,168206,0.0,115905.27,318,364.4819811320755,97258.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41256.0,0.0,B,Z
1255409796,17,84776.0,19998.28,92576.72,2.0,11934.0,575.0,4081.0,69377.0,89950.28,15.0,72842.0,-17108.28,4986.823529411765,4856.133333333333,1176.3694117647058,33.8235294117647,-1140.552,-0.22871312635651597,5291.19294117647,-23.48683451854699,11.76470588235294,0.6782579975464754,6552.772727272727,9.090909090909092,STOP,78,119566,5987,555806,555806,0.0,373902.84,816,458.2142647058824,356794.56000000006,4.0,27.0,26.0,31.0,31.0,0.0,0.0,0.0,0.0,2.0,61215.0,30607.5,B,Z
1266364538,4,42399.0,10008.84,47329.159999999996,0.0,0.0,541.0,10509.0,42036.0,52585.84,4.0,42399.0,-10186.839999999997,10599.75,10599.75,2502.21,135.25,-2546.709999999999,-0.2402613269180876,13146.46,-24.026132691808762,0.0,1.2759734899408004,14750.583333333334,0.0,STOP,56,72473,3857,852061,852061,0.0,427412.19,445,960.4768314606741,417225.35,8.0,18.0,11.0,26.0,21.0,0.0,0.0,0.0,0.0,4.0,42036.0,10509.0,C,Z
1279919917,4,44400.0,10656.0,48544.0,0.0,0.0,0.0,11768.0,47072.0,57728.0,4.0,44400.0,-13328.0,11100.0,11100.0,2664.0,0.0,-3332.0,-0.30018018018018017,14432.0,-30.018018018018015,0.0,0.0,0.0,0.0,STOP,19,123806,6504,402164,402164,0.0,209149.42,142,1472.8832394366198,195821.42,15.0,15.0,4.0,29.0,14.0,1.0,1.0,1.0,0.0,8.0,47072.0,5884.0,B,Z
