date,sku,shipped_qty,promo_rub,order_value_rub_sum,shipments,returns_qty,returns_rub
2025-01-15,1577323801,2,61.0,23764.0,2,0,0.0
2025-01-15,955086816,1,31.0,17820.0,1,0,0.0
2025-01-15,967621232,0,0.0,0.0,0,1,33000.0
2025-01-15,985165859,1,32.0,18450.0,1,0,0.0
2025-01-15,985186122,1,28.0,18900.0,1,0,0.0
2025-01-16,1090789726,1,29.0,5715.0,1,0,0.0
2025-01-16,1255409796,1,31.0,5814.0,1,0,0.0
2025-01-16,1359397672,1,33.0,5580.0,1,0,0.0
2025-01-16,1418098260,1,38.0,25290.0,1,0,0.0
2025-01-16,1442316061,1,37.0,11323.0,1,0,0.0
2025-01-16,1606602149,1,32.0,17910.0,1,0,0.0
2025-01-17,1090789726,1,29.0,5715.0,1,0,0.0
2025-01-17,1091369491,1,28.0,5850.0,1,0,0.0
2025-01-17,1159876183,0,0.0,0.0,0,1,7000.0
2025-01-17,1233002951,1,34.0,5760.0,1,0,0.0
2025-01-17,1351965762,1,27.0,15000.0,1,0,0.0
2025-01-17,1359397672,2,66.0,11160.0,2,0,0.0
2025-01-17,955086816,1,32.0,17111.0,1,1,17820.0
2025-01-17,985165859,0,0.0,0.0,0,1,20500.0
2025-01-17,986670006,1,35.0,36009.0,1,0,0.0
2025-01-18,1087599272,1,29.0,6210.0,1,0,0.0
2025-01-18,1090789726,0,0.0,0.0,0,1,5646.0
2025-01-18,1279919917,0,0.0,0.0,0,1,14400.0
2025-01-18,1338292056,0,0.0,0.0,0,1,21600.0
2025-01-18,1403051903,1,25.0,22000.0,1,0,0.0
2025-01-18,955086816,0,0.0,0.0,0,2,37620.0
2025-01-18,965922030,1,14.0,15000.0,1,0,0.0
2025-01-18,967621232,0,0.0,0.0,0,1,29700.0
2025-01-18,985165859,0,0.0,0.0,0,1,18450.0
2025-01-19,1090789726,0,0.0,0.0,0,1,5715.0
2025-01-19,1232870909,1,29.0,5715.0,1,0,0.0
2025-01-19,1255409796,1,30.0,6120.0,1,0,0.0
2025-01-19,1351965762,1,27.0,15000.0,1,0,0.0
2025-01-19,1359397672,1,33.0,5580.0,1,0,0.0
2025-01-19,985122721,1,24.0,19170.0,1,0,0.0
2025-01-20,1083286259,0,0.0,0.0,0,1,10996.0
2025-01-20,1083302078,1,32.0,17100.0,1,0,0.0
2025-01-20,1159876183,0,0.0,0.0,0,2,13300.0
2025-01-20,1233002951,1,34.0,5760.0,1,0,0.0
2025-01-20,1577323801,2,64.0,23916.0,2,0,0.0
2025-01-20,1606602149,1,32.0,17910.0,1,0,0.0
2025-01-20,955086816,1,23.0,19800.0,1,0,0.0
2025-01-20,967621232,1,23.0,33000.0,1,0,0.0
2025-01-20,985165859,0,0.0,0.0,0,1,20500.0
2025-01-20,985186122,1,29.0,18519.0,1,0,0.0
2025-01-21,1064626945,0,0.0,0.0,0,1,11512.0
2025-01-21,1091369491,1,28.0,5850.0,1,0,0.0
2025-01-21,1232915937,2,59.0,11145.0,2,0,0.0
2025-01-21,1359397672,1,33.0,5580.0,1,0,0.0
